competition_id,sex,round,boulder,section,wall_angle,style,dynamic_move,direction,hold_type
1353,M,semi-final,1,Zone,Corner,Coordination,Foot-Hands,Right,Open Hand
1353,M,semi-final,1,Top,Overhang,Technical,,Left,Open Hand
1353,M,semi-final,2,Zone,Roof,Electric,Jump,Right,Pinch
1353,M,semi-final,2,Top,Overhang,Physical,Jump,Right,Pinch
1353,M,semi-final,3,Zone,Overhang,Physical,,Right,Pinch
1353,M,semi-final,3,Top,Overhang,Technical,,Left,Open Hand
1353,M,semi-final,4,Zone,Slab,Technical,,Left,Open Hand
1353,M,semi-final,4,Top,Slab,Technical,,Straight,Close Hand
1353,W,semi-final,1,Zone,Overhang,Coordination,Foot-Hands,Right,Open Hand
1353,W,semi-final,1,Top,Overhang,Electric,Hands,Left,Open Hand
1353,W,semi-final,2,Zone,Overhang,Physical,Jump,Right,Open Hand
1353,W,semi-final,2,Top,Overhang,Physical,Jump,Left,Pinch
1353,W,semi-final,3,Zone,Overhang,Physical,,Right,Open Hand
1353,W,semi-final,3,Top,Overhang,Physical,,Left,Close Hand
1353,W,semi-final,4,Zone,Slab,Technical,,Left,Open Hand
1353,W,semi-final,4,Top,Slab,Coordination,Hands,Right,Open Hand
1353,W,final,1,Zone,Overhang,Coordination,Hands,Left,Open Hand
1353,W,final,1,Top,Overhang,Coordination,Hands,Right,Open Hand
1353,W,final,2,Zone,Overhang,Physical,,Right,Open Hand
1353,W,final,2,Top,Overhang,Physical,,Left,Pinch
1353,W,final,3,Zone,Slab,Technical,,Right,Open Hand
1353,W,final,3,Top,Slab,Physical,,Left,Open Hand
1353,W,final,4,Zone,Overhang,Physical,Jump,Left,Pinch
1353,W,final,4,Top,Overhang,Physical,Jump,Right,Pinch
1355,M,semi-final,1,Zone,Slab,Technical,,Left,Open Hand
1355,M,semi-final,1,Top,Vertical,Technical,,Left,Open Hand
1355,M,semi-final,2,Zone,Vertical,Electric,Jump,Right,Open Hand
1355,M,semi-final,2,Top,Overhang,Physical,,Left,Close Hand
1355,M,semi-final,3,Zone,Overhang,Physical,Jump,Right,Open Hand
1355,M,semi-final,3,Top,Overhang,Physical,Jump,Right,Close Hand
1355,M,semi-final,4,Zone,Overhang,Coordination,Hands,Left,Open Hand
1355,M,semi-final,4,Top,Slab,Technical,,Left,Close Hand
1355,W,semi-final,1,Zone,Slab,Electric,Foot-Hands,Left,Open Hand
1355,W,semi-final,1,Top,Vertical,Coordination,Foot-Hands,Left,Open Hand
1355,W,semi-final,2,Zone,Overhang,Physical,,Left,Open Hand
1355,W,semi-final,2,Top,Overhang,Physical,,Left,Open Hand
1355,W,semi-final,3,Zone,Overhang,Physical,,Right,Close Hand
1355,W,semi-final,3,Top,Overhang,Physical,Foot-Hands,Left,Open Hand
1355,W,semi-final,4,Zone,Slab,Technical,,Right,Open Hand
1355,W,semi-final,4,Top,Slab,Coordination,Foot-Hands,Right,Open Hand
1355,M,final,1,Zone,Overhang,Coordination,Foot-Hands,Right,Open Hand
1355,M,final,1,Top,Vertical,Coordination,Foot-Hands,Right,Open Hand
1355,M,final,2,Zone,Overhang,Physical,,Left,Close Hand
1355,M,final,2,Top,Overhang,Electric,Foot-Hands,Left,Open Hand
1355,M,final,3,Zone,Slab,Coordination,Foot-Hands,Left,Open Hand
1355,M,final,3,Top,Slab,Technical,,Left,Open Hand
1355,M,final,4,Zone,Corner,Physical,Jump,Right,Open Hand
1355,M,final,4,Top,Overhang,Physical,,Left,Open Hand
1355,W,final,1,Zone,Overhang,Physical,,Left,Close Hand
1355,W,final,1,Top,Overhang,Physical,,Left,Open Hand
1355,W,final,2,Zone,Slab,Coordination,Foot-Hands,Left,Open Hand
1355,W,final,2,Top,Vertical,Coordination,Foot-Hands,Left,Open Hand
1355,W,final,3,Zone,Overhang,Physical,,Right,Open Hand
1355,W,final,3,Top,Vertical,Electric,Jump,Right,Open Hand
1355,W,final,4,Zone,Slab,Electric,Foot,Right,Open Hand
1355,W,final,4,Top,Corner,Electric,Jump,Right,Open Hand
1356,M,semi-final,1,Zone,Corner,Technical,,Left,Open Hand
1356,M,semi-final,1,Top,Overhang,Technical,Jump,Right,Pinch
1356,M,semi-final,2,Zone,Overhang,Coordination,Foot-Hands,Left,Open Hand
1356,M,semi-final,2,Top,Overhang,Technical,,Right,Open Hand
1356,M,semi-final,3,Zone,Overhang,Coordination,Foot-Hands,Left,Open Hand
1356,M,semi-final,3,Top,Vertical,Coordination,Hands,Right,Open Hand
1356,M,semi-final,4,Zone,Slab,Technical,,Left,Open Hand
1356,M,semi-final,4,Top,Vertical,Coordination,Jump,Straight,Open Hand
1356,W,semi-final,1,Zone,Overhang,Physical,,Right,Open Hand
1356,W,semi-final,1,Top,Overhang,Technical,,Left,Open Hand
1356,W,semi-final,2,Zone,Overhang,Electric,Jump,Left,Open Hand
1356,W,semi-final,2,Top,Vertical,Physical,Jump,Right,Open Hand
1356,W,semi-final,3,Zone,Vertical,Coordination,Foot-Hands,Left,Open Hand
1356,W,semi-final,3,Top,Overhang,Coordination,Foot-Hands,Left,Open Hand
1356,W,semi-final,4,Zone,Slab,Technical,,Right,Close Hand
1356,W,semi-final,4,Top,Slab,Coordination,Jump,Right,Close Hand
1356,M,final,1,Zone,Vertical,Coordination,Foot-Hands,Left,Open Hand
1356,M,final,1,Top,Vertical,Electric,Foot-Hands,Left,Open Hand
1356,M,final,2,Zone,Overhang,Physical,,Right,Close Hand
1356,M,final,2,Top,Overhang,Physical,,Right,Open Hand
1356,M,final,3,Zone,Slab,Technical,,Right,Open Hand
1356,M,final,3,Top,Slab,Technical,,Right,Open Hand
1356,M,final,4,Zone,Overhang,Coordination,Jump,Right,Open Hand
1356,M,final,4,Top,Overhang,Physical,Jump,Right,Open Hand
1356,W,final,1,Zone,Overhang,Coordination,Foot-Hands,Left,Open Hand
1356,W,final,1,Top,Overhang,Technical,Jump,Right,Close Hand
1356,W,final,2,Zone,Overhang,Electric,Jump,Right,Open Hand
1356,W,final,2,Top,Vertical,Technical,Jump,Right,Open Hand
1356,W,final,3,Zone,Slab,Technical,,Left,Open Hand
1356,W,final,3,Top,Slab,Technical,,Right,Open Hand
1356,W,final,4,Zone,Overhang,Physical,,Left,Open Hand
1356,W,final,4,Top,Overhang,Electric,Jump,Straight,Open Hand
1360,M,semi-final,1,Zone,Overhang,Coordination,Jump,Right,Close Hand
1360,M,semi-final,1,Top,Vertical,Technical,,Right,Open Hand
1360,M,semi-final,2,Zone,Vertical,Technical,,Straight,Open Hand
1360,M,semi-final,2,Top,Vertical,Technical,,Left,Close Hand
1360,M,semi-final,3,Zone,Overhang,Physical,,Right,Close Hand
1360,M,semi-final,3,Top,Overhang,Electric,Hands,Right,Open Hand
1360,M,semi-final,4,Zone,Slab,Coordination,Foot-Hands,Right,Open Hand
1360,M,semi-final,4,Top,Overhang,Technical,,Right,Open Hand
1360,W,semi-final,1,Zone,Overhang,Technical,Jump,Right,Close Hand
1360,W,semi-final,1,Top,Vertical,Technical,,Right,Close Hand
1360,W,semi-final,2,Zone,Overhang,Electric,Hands,Right,Open Hand
1360,W,semi-final,2,Top,Overhang,Coordination,Foot-Hands,Right,Open Hand
1360,W,semi-final,3,Zone,Overhang,Coordination,Hands,Right,Open Hand
1360,W,semi-final,3,Top,Overhang,Electric,Jump,Left,Open Hand
1360,W,semi-final,4,Zone,Slab,Technical,,Right,Open Hand
