athlete_id,rank,name,country,round,round_score,round_rank,ascent,ascent_top,ascent_top_tries,ascent_zone,ascent_zone_tries,sex,event_id,starting_group,event,location
2276,1,NARASAKI Tomoa,JPN,qualification,4T5z 6 7,3,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,qualification,4T5z 6 7,3,2,TRUE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,qualification,4T5z 6 7,3,3,FALSE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,qualification,4T5z 6 7,3,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,qualification,4T5z 6 7,3,5,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,semi-final,2T4z 2 4,1,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,semi-final,2T4z 2 4,1,2,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,semi-final,2T4z 2 4,1,3,FALSE,NA,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2276,1,NARASAKI Tomoa,JPN,semi-final,2T4z 2 4,1,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,qualification,5T5z 6 6,1,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,qualification,5T5z 6 6,1,2,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,qualification,5T5z 6 6,1,3,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,qualification,5T5z 6 6,1,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,qualification,5T5z 6 6,1,5,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,semi-final,2T4z 4 8,2,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,semi-final,2T4z 4 8,2,2,FALSE,4,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,semi-final,2T4z 4 8,2,3,TRUE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
13040,2,ANRAKU Sorato,JPN,semi-final,2T4z 4 8,2,4,FALSE,5,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,qualification,4T5z 5 6,5,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,qualification,4T5z 5 6,5,2,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,qualification,4T5z 5 6,5,3,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,qualification,4T5z 5 6,5,4,FALSE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,qualification,4T5z 5 6,5,5,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,semi-final,2T3z 4 4,3,1,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,semi-final,2T3z 4 4,3,2,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,semi-final,2T3z 4 4,3,3,FALSE,7,FALSE,7,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
373,3,Van Duysen Hannes,BEL,semi-final,2T3z 4 4,3,4,TRUE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,qualification,4T5z 4 6,1,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,qualification,4T5z 4 6,1,2,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,qualification,4T5z 4 6,1,3,FALSE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,qualification,4T5z 4 6,1,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,qualification,4T5z 4 6,1,5,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,semi-final,2T3z 4 6,4,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,semi-final,2T3z 4 6,4,2,FALSE,5,FALSE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,semi-final,2T3z 4 6,4,3,FALSE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,semi-final,2T3z 4 6,4,4,TRUE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
